time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1679949251,0.00006500845232576297,2.5,2265420.2545896447,262144000,4,3.0,0.00009237078613347862,0.2,738320.5740933027,209715200,2,50.0,0.000058393290206603264,0.4,16887.28863682398,209715200,4,50.0,0.03177300982354545,0.2,105573.08788629268,268435456,1,50.0,0.00006429566546153545,818904.6303030303,4,0.0007677198090410894,0,1,0.004664652882929275,0,1,0
1679949252,0.00006752241080543205,2.5,2390429.4208541294,262144000,4,3.0,0.00009237078613347862,0.2,777505.4044771952,209715200,2,50.0,0.00006099114540431668,0.4,17638.586095919698,209715200,4,50.0,0.03288135774357704,0.2,109255.82719931088,268435456,1,50.0,0.0000659988844567946,859966.8892561983,4,0.0007677198090410894,0,1,0.004656688001824423,0,1,0
1679949253,0.00007003636928510113,2.5,2515438.5871186154,262144000,4,3.0,0.00009237078613347862,0.2,816690.2348610878,209715200,2,50.0,0.0000635890006020301,0.4,18389.883555015414,209715200,4,50.0,0.03406166606693401,0.2,129250.27748186333,268435456,1,50.0,0.00013002365460521763,901029.1482093662,4,0.0007677198090410894,0,1,0.004781248752118825,0,1,0
1679949254,0.00007255032776477023,2.5,2640447.7533831,262144000,4,3.0,0.00009237078613347862,0.2,855875.0652449802,209715200,2,50.0,0.00006618685579974351,0.4,19141.18101411113,209715200,4,50.0,0.035171908554288055,0.2,133362.47012126958,268435456,1,50.0,0.0001341804779765856,942091.4071625344,4,0.0014313578871981427,0,1,0.004367944281077121,0,1,0
1679949255,0.00007506428624443932,2.5,2765456.9196475847,262144000,4,3.0,0.00009237078613347862,0.2,895059.8956288729,209715200,2,50.0,0.050816791143093676,0.4,728814.1028541592,209715200,4,50.0,0.0362821510416421,0.2,137474.66276067583,268435456,1,50.0,0.00013833730134795358,983153.6661157024,4,0.0014313578871981427,0,1,0.0043621364835387715,0,1,0.19999999999999996
1679949256,0.0000775782447241084,2.5,2890466.0859120702,262144000,4,3.0,0.00009237078613347862,0.2,934244.7260127654,209715200,2,50.0,0.05361286896158504,0.4,767075.4955513502,209715200,4,50.0,0.03739239352899614,0.2,141586.85540008207,268435456,1,50.0,0.00014249412471932152,1024215.9250688705,4,0.0014313578871981427,0,1,0.004356328686000422,0,1,0.2
1679949257,0.0000800922032037775,2.5,3015475.252176555,262144000,4,3.0,0.00009237078613347862,0.2,994532.872897272,209715200,2,50.0,0.05640894678007641,0.4,805336.8882485412,209715200,4,50.0,0.038502636016350185,0.2,636650.9318802377,268435456,1,50.0,0.00014665094809068952,1082731.4938768914,4,0.0014313578871981427,0,1,0.004350520888462072,0,1,0.2
1679949258,0.00008260616168344657,2.5,3140484.4184410404,262144000,4,3.0,0.05602835620860956,0.2,1033717.7032811646,209715200,2,50.0,0.05920502459856777,0.4,843598.280945732,209715200,4,50.0,0.039612878503704235,0.2,656862.5468459515,268435456,1,50.0,0.05716901226550567,1124256.098287744,4,0.0014903942121838269,0,1,0.004344713090923723,0,1,0.2
1679949259,0.00008512012016311568,2.5,3265493.584705525,262144000,4,3.0,0.05792608932232992,0.2,1072902.533665057,209715200,2,50.0,0.06200110241705913,0.4,881859.673642923,209715200,4,50.0,0.040723120991058286,0.2,677074.1618116654,268435456,1,50.0,0.05900682302251395,1181572.0624462801,4,0.0014903942121838269,0,1,0.004338905293385373,0,1,0.2
1679949260,0.00008763407864278474,2.5,3390502.7509700097,262144000,4,3.0,0.09357879127831963,0.2,1112087.3640489497,209715200,2,50.0,0.0647971802355505,0.4,920121.066340114,209715200,4,50.0,0.041833363478412336,0.2,697285.7767773792,268435456,1,50.0,0.06081865883823504,1223718.3739338126,4,0.0014903942121838269,0,1,0.004333097495847024,0,1,0.5999999999999999
