time,cpu_used_aeneas,cpu_requested_aeneas,memory_used_aeneas,memory_requested_aeneas,pod_count_aeneas,mq_trigger_concurrency_aeneas,cpu_used_rawaeneas,cpu_requested_rawaeneas,memory_used_rawaeneas,memory_requested_rawaeneas,pod_count_rawaeneas,mq_trigger_concurrency_rawaeneas,cpu_used_getobject,cpu_requested_getobject,memory_used_getobject,memory_requested_getobject,pod_count_getobject,mq_trigger_concurrency_getobject,cpu_used_scaling-aeneas-tocloud,cpu_requested_scaling-aeneas-tocloud,memory_used_scaling-aeneas-tocloud,memory_requested_scaling-aeneas-tocloud,pod_count_scaling-aeneas-tocloud,mq_trigger_concurrency_scaling-aeneas-tocloud,cpu_used_mq_trigger_amqp-connector-aeneas,memory_used_mq_trigger_amqp-connector-aeneas,pod_count_mq_trigger_amqp-connector-aeneas,cpu_used_mq_trigger_amqp-connector-tocloud,memory_used_mq_trigger_amqp-connector-tocloud,pod_count_mq_trigger_amqp-connector-tocloud,cpu_used_mq_trigger_amqp-connector-rawaeneas,memory_used_mq_trigger_amqp-connector-rawaeneas,pod_count_mq_trigger_amqp-connector-rawaeneas,throughput
1680087979,0.024768026015551985,0.5,1590714.0658884095,52428800,1,3.0,0.010457904011170506,0.1,3051799.206349279,104857600,2,50.0,0.011757767823343849,0.1,223331.62875643364,52428800,1,50.0,0.01485560274396921,0.2,1203.2026816784053,268435456,2,50.0,0.06908677236733894,1632958.4632329142,1,0.001193590239023627,0,1,0.003043355361531371,0,1,0
1680087980,0.02544805084492573,0.5,1633662.6303074567,52428800,1,3.0,0.010407846154388983,0.1,3051679.7284815623,104857600,2,50.0,0.011757767823343849,0.1,223331.62875643364,52428800,1,50.0,0.01485696102378858,0.2,1211.323864960188,268435456,2,50.0,0.07286967231614606,1716561.3671230176,1,0.0011935902390236273,0,1,0.003043355361531371,0,1,0
1680087981,0.02612807567429946,0.5,1676611.1947265037,52428800,1,3.0,0.01245661031288078,0.1,3056868.8575744024,104857600,2,50.0,0.011757767823343849,0.1,223331.62875643364,52428800,1,50.0,0.014858319303607951,0.2,1219.4450482419709,268435456,2,50.0,0.07665257226495317,1800164.2710131214,1,0.0011935902390236273,0,1,0.003043355361531371,0,1,0.2666666666666666
1680087982,0.0268081005036732,0.5,1719559.759145551,52428800,1,3.0,0.015306770623599334,0.1,3064043.0707840617,104857600,2,50.0,0.011757767823343849,0.1,223331.62875643364,52428800,1,50.0,0.014859677583427322,0.2,1227.5662315237537,268435456,2,50.0,0.08043547221376028,2692322.940948239,1,0.0011935902390236273,0,1,0.005945434020329621,174.58018644822621,1,0.26666666666666666
1680087983,0.02748812533304693,0.5,1762508.3235645983,52428800,1,3.0,0.016102100050413366,0.1,3066061.8537052083,104857600,2,50.0,0.011757767823343849,0.1,223331.62875643364,52428800,1,50.0,0.014861035863246693,0.2,1235.6874148055367,268435456,2,50.0,0.08421837216256738,2810972.2566126483,1,0.0011935902390236273,0,1,0.005945434020329621,174.58018644822621,1,0.26666666666666666
1680087984,0.028168150162420667,0.5,1805456.887983645,52428800,1,3.0,0.01605204219363184,0.1,3065942.3758374914,104857600,2,50.0,0.024327909412144435,0.1,411698.86847312306,52428800,1,50.0,0.014862394143066063,0.2,1243.8085980873195,268435456,2,50.0,0.0880012721113745,2929621.572277059,1,0.0011935902390236273,0,1,0.005945434020329621,174.58018644822624,1,0.26666666666666666
1680087985,0.028848174991794397,0.5,1848405.4524026925,52428800,1,3.0,0.016001984336850315,0.1,3065822.8979697744,104857600,2,50.0,0.024327909412144435,0.1,411698.86847312306,52428800,1,50.0,0.014863752422885432,0.2,1251.9297813691023,268435456,2,50.0,0.09184719992209706,3067097.664604689,1,0.001193590239023627,0,1,0.005945434020329621,174.58018644822624,1,0.26666666666666666
1680087986,0.03062239100666001,0.5,1894804.0622255355,52428800,1,3.0,0.015951926480068792,0.1,3065703.420102058,104857600,2,50.0,0.024327909412144435,0.1,411698.86847312306,52428800,1,50.0,0.012010021833785339,0.2,837.4660209721553,268435456,2,50.0,0.09563179137183449,3186252.2411057055,1,0.001193590239023627,0,1,0.014448131762928262,598.6425431740832,1,0.9333333333333332
1680087987,0.031329006144308155,0.5,1937836.4673591342,52428800,1,3.0,0.01590186862328727,0.1,3065583.942234341,104857600,2,50.0,0.024327909412144435,0.1,411698.86847312306,52428800,1,50.0,0.01168182643474193,0.2,845.5872042539381,268435456,2,50.0,0.09941638282157192,3305406.817606722,1,0.001193590239023627,0,1,0.014448131762928262,598.6425431740832,1,0.9333333333333332
1680087988,0.0320356212819563,0.5,1980868.8724927327,52428800,1,3.0,0.015851810766505745,0.1,3065464.464366624,104857600,2,50.0,0.024327909412144435,0.1,411698.86847312306,52428800,1,50.0,0.012512818957962487,0.2,544640.512360608,268435456,2,50.0,0.10320097427130936,3424561.3941077385,1,0.0006348363686131302,0,1,0.014448131762928262,598.6425431740832,1,0.9333333333333332
