time,cpu_used_pyodforest,cpu_requested_pyodforest,memory_used_pyodforest,memory_requested_pyodforest,pod_count_pyodforest,mq_trigger_concurrency_pyodforest,cpu_used_preprocess,cpu_requested_preprocess,memory_used_preprocess,memory_requested_preprocess,pod_count_preprocess,mq_trigger_concurrency_preprocess,cpu_used_tagdata,cpu_requested_tagdata,memory_used_tagdata,memory_requested_tagdata,pod_count_tagdata,mq_trigger_concurrency_tagdata,cpu_used_storedata,cpu_requested_storedata,memory_used_storedata,memory_requested_storedata,pod_count_storedata,mq_trigger_concurrency_storedata,cpu_used_mq_trigger_amqp-connector-outlier,memory_used_mq_trigger_amqp-connector-outlier,pod_count_mq_trigger_amqp-connector-outlier,cpu_used_mq_trigger_amqp-connector-preprocess,memory_used_mq_trigger_amqp-connector-preprocess,pod_count_mq_trigger_amqp-connector-preprocess,cpu_used_mq_trigger_amqp-connector-tagged,memory_used_mq_trigger_amqp-connector-tagged,pod_count_mq_trigger_amqp-connector-tagged,cpu_used_mq_trigger_amqp-connector-store,memory_used_mq_trigger_amqp-connector-store,pod_count_mq_trigger_amqp-connector-store,throughput
1680611708,0.00301027489488785,1,7376.455162501308,104857600,2,3.0,0.0028912928323140924,0.1,2695.2867168662438,134217728,1,50.0,0.0035165231103559827,0.1,1575.8312571758975,134217728,1,50.0,0.020327006885309282,0.1,5116111.33639102,134217728,1,50.0,0.0015578160871077351,0,1,0.00045475912174292786,0,1,0.0026319535867795362,1730783.6141943797,1,0.003009683929510099,3410788.603241587,1,0
1680611709,0.00301027489488785,1,7376.455162501308,104857600,2,3.0,0.0028617061513181003,0.1,2661.261837834823,134217728,1,50.0,0.0035165231103559827,0.1,1575.8312571758975,134217728,1,50.0,0.020327006885309282,0.1,5116111.33639102,134217728,1,50.0,0.0015433880653666705,0,1,0.0004402268262857034,0,1,0.0021077749369130022,914478.5761371127,1,0.003009683929510099,3410788.603241587,1,0
1680611710,0.00301027489488785,1,7376.455162501308,104857600,2,3.0,0.0028321194703221086,0.1,2627.236958803402,134217728,1,50.0,0.0035165231103559827,0.1,1575.8312571758975,134217728,1,50.0,0.018212094974993508,0.1,4590214.056194678,134217728,1,50.0,0.0023076645895028394,998.7633893581817,1,0.0004256945308284788,0,1,0.0021077749369130022,914478.5761371127,1,0.003009683929510099,3410788.603241587,1,0.3333333333333333
1680611711,0.0026514433410716005,1,8055.51174349656,104857600,2,3.0,0.0028025327893261166,0.1,2593.2120797719817,134217728,1,50.0,0.0035165231103559827,0.1,1575.8312571758975,134217728,1,50.0,0.023182979907513928,0.1,4578857.6667405255,134217728,1,50.0,0.0023076645895028394,998.7633893581817,1,0.00041116223537125424,0,1,0.0012109401386802957,0,1,0.003009683929510099,3410788.603241587,1,0.3333333333333333
1680611712,0.0030354174326225475,1,9926.829465951574,104857600,2,3.0,0.002772946108330125,0.1,2559.187200740561,134217728,1,50.0,0.0035165231103559827,0.1,1575.8312571758975,134217728,1,50.0,0.023080137351638278,0.1,4548027.186031042,134217728,1,50.0,0.0027342515223066923,1841.726618705036,1,0.0043859183958092525,203.62905908764458,1,0.0012231339569808842,0,1,0.003009683929510099,3410788.603241587,1,0.3333333333333333
1680611713,0.0030354174326225475,1,9926.829465951574,104857600,2,3.0,0.002743359427334133,0.1,2525.16232170914,134217728,1,50.0,0.0035165231103559827,0.1,1575.8312571758975,134217728,1,50.0,0.022977294795762625,0.1,4517196.705321558,134217728,1,50.0,0.0027342515223066923,1841.726618705036,1,0.0043859183958092525,203.62905908764458,1,0.0012353277752814732,0,1,0.003009683929510099,3410788.603241587,1,0.3333333333333333
1680611714,0.0030354174326225475,1,9926.829465951574,104857600,2,3.0,0.002713772746338141,0.1,2491.1374426777197,134217728,1,50.0,0.004905296464401325,0.1,5099.7431290174045,134217728,1,50.0,0.022874452239886975,0.1,4486366.224612073,134217728,1,50.0,0.0027342515223066923,1841.726618705036,1,0.004761770092443957,232.73012555841558,1,0.0012475215935820619,0,1,0.003009683929510099,3410788.603241587,1,0.3333333333333333
1680611715,0.0030354174326225475,1,9926.829465951574,104857600,2,3.0,0.002684186065342149,0.1,2457.112563646299,134217728,1,50.0,0.006896569353126441,0.1,9898.00130998322,134217728,1,50.0,0.02277160968401132,0.1,4455535.743902588,134217728,1,50.0,0.0027342515223066923,1841.726618705036,1,0.004761770092443957,232.73012555841558,1,0.0012597154118826506,0,1,0.004411603235373658,2916702.532134205,1,1.6666666666666665
1680611716,0.0030354174326225475,1,9926.829465951574,104857600,2,3.0,0.0057981166372526975,0.1,10408.945120743769,134217728,1,50.0,0.006896569353126441,0.1,9898.00130998322,134217728,1,50.0,0.031629954158922904,0.1,4442478.3880639635,134217728,1,50.0,0.0027342515223066923,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.0012719092301832395,0,1,0.004411603235373658,2916702.532134205,1,1.6666666666666665
1680611717,0.0030354174326225475,1,9926.829465951574,104857600,2,3.0,0.0057981166372526975,0.1,10408.945120743769,134217728,1,50.0,0.006896569353126441,0.1,9898.00130998322,134217728,1,50.0,0.031527111603047255,0.1,4411647.90735448,134217728,1,50.0,0.0027342515223066923,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.0012841030484838283,0,1,0.004411603235373658,2916702.532134205,1,1.6666666666666665
1680611718,0.0030354174326225475,1,9926.829465951574,104857600,2,3.0,0.0057981166372526975,0.1,10408.945120743769,134217728,1,50.0,0.006896569353126441,0.1,9898.00130998322,134217728,1,50.0,0.031424269047171605,0.1,4380817.426644995,134217728,1,50.0,0.0027342515223066923,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.001296296866784417,0,1,0.004560022037445403,1965244.8081094017,1,1.6666666666666665
1680611719,0.0030354174326225475,1,9926.829465951574,104857600,2,3.0,0.004091844345530569,0.1,9076.439871283503,134217728,1,50.0,0.006896569353126441,0.1,9898.00130998322,134217728,1,50.0,0.031321426491295955,0.1,4349986.945935511,134217728,1,50.0,0.0027342515223066923,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.001308490685085006,0,1,0.0046539528726797594,1965248.3474430116,1,1.6666666666666665
1680611720,0.0030354174326225475,1,9926.829465951574,104857600,2,3.0,0.004091844345530569,0.1,9076.439871283503,134217728,1,50.0,0.006896569353126441,0.1,9898.00130998322,134217728,1,50.0,0.031218583935420298,0.1,4319156.465226026,134217728,1,50.0,0.0027342515223066923,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.0013146729509634046,0,1,0.004747883707914116,1965251.8867766215,1,3
1680611721,0.0030354174326225475,1,9926.829465951574,104857600,2,3.0,0.004091844345530569,0.1,9076.439871283503,134217728,1,50.0,0.007246622028751453,0.1,11645.039389127262,134217728,1,50.0,0.031115741379544648,0.1,4288325.984516542,134217728,1,50.0,0.0027342515223066923,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.0013024791326628157,0,1,0.007987514442732949,933019.3122040115,1,3
1680611722,0.003035417432622548,1,9926.829465951578,104857600,2,3.0,0.004091844345530569,0.1,9076.439871283503,134217728,1,50.0,0.007325487987580615,0.1,11790.70482477218,134217728,1,50.0,0.031012898823668995,0.1,4257495.503807058,134217728,1,50.0,0.002734251522306692,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.0012902853143622267,0,1,0.008081445277967305,933022.8515376213,1,3
1680611723,0.003035417432622548,1,9926.829465951578,104857600,2,3.0,0.004091844345530569,0.1,9076.439871283503,134217728,1,50.0,0.00849049593140499,0.1,13942.474640118917,134217728,1,50.0,0.030910056267793345,0.1,4226665.023097574,134217728,1,50.0,0.002734251522306692,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.0012780914960616382,0,1,0.008175376113201661,933026.3908712312,1,3
1680611724,0.003035417432622548,1,9926.829465951578,104857600,2,3.0,0.013808200783793538,0.1,40893.5213750874,134217728,1,50.0,0.00849049593140499,0.1,13942.474640118917,134217728,1,50.0,0.03080721371191769,0.1,4195834.542388089,134217728,1,50.0,0.002734251522306692,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.0012658976777610493,0,1,0.011100625361285272,3955.571873109306,1,3
1680611725,0.003035417432622548,1,9926.829465951578,104857600,2,3.0,0.013808200783793538,0.1,40893.5213750874,134217728,1,50.0,0.00849049593140499,0.1,13942.474640118917,134217728,1,50.0,0.03070437115604204,0.1,4165004.061678605,134217728,1,50.0,0.002734251522306692,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.0012537038594604604,0,1,0.011194556196519628,3959.11120671915,1,4
1680611726,0.003035417432622548,1,9926.829465951578,104857600,2,3.0,0.013808200783793538,0.1,40893.5213750874,134217728,1,50.0,0.009371005014536693,0.1,17380.233068133923,134217728,1,50.0,0.02124911438482506,0.1,1899389.063024012,134217728,1,50.0,0.002734251522306692,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.0012415100411598717,0,1,0.011288487031753985,3962.650540328994,1,4
1680611727,0.003035417432622548,1,9926.829465951578,104857600,2,3.0,0.013808200783793538,0.1,40893.5213750874,134217728,1,50.0,0.009488412100516751,0.1,17598.90581547815,134217728,1,50.0,0.02114627182894941,0.1,1868558.5823145276,134217728,1,50.0,0.002734251522306692,1841.726618705036,1,0.004761770092443958,232.7301255584156,1,0.001229316222859283,0,1,0.011382417866988341,3966.1898739388375,1,4
1680611728,0.003035417432622548,0.5,9926.829465951578,52428800,1,3.0,0.013808200783793538,0.1,40893.5213750874,134217728,1,50.0,0.009605819186496809,0.1,17817.578562822375,134217728,1,50.0,0.03831967759642074,0.1,1180254.7790896879,134217728,1,50.0,0.002734251522306692,1841.726618705036,1,0.008731332973964619,1218.2569007672837,1,0.001217122404558694,0,1,0.011476348702222696,3969.729207548681,1,4
1680611729,0.003035417432622548,0.5,9926.829465951578,52428800,1,3.0,0.013808200783793538,0.1,40893.5213750874,134217728,1,50.0,0.009723226272476865,0.1,18036.251310166605,134217728,1,50.0,0.08007906541919632,0.1,140015.38083544353,134217728,1,50.0,0.002734251522306692,1841.726618705036,1,0.013605835384609494,2385.678484185786,1,0.0012049285862581053,0,1,0.011570279537457052,3973.268541158525,1,4
